#,Category,Sub-Category,Item Name,File Path,Repository,Branch,File Type,Size (bytes),Description,Date,Status,GitHub URL
11,Shopify Theme — SmartSphere,Core Assets,theme.css,assets/theme.css,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,CSS,33523,"Main stylesheet — design system: dark navy (#060b18) base with electric-cyan / purple / gold accent palette; CSS custom properties; full responsive layout (1280px → mobile); animations: scroll-reveal / floating cards / particle canvas / progress bars / globe pings / infinite scroll marquee",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/assets/theme.css
12,Shopify Theme — SmartSphere,Core Assets,theme.js,assets/theme.js,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,JavaScript,10233,"Main JS — IntersectionObserver scroll-reveal; animated counting for stats; particle canvas animation (hero background); typewriter / typing-effect for hero tagline; filterable product grid; cart icon badge; smooth scrolling; mobile nav toggle",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/assets/theme.js
13,Shopify Theme — SmartSphere,Sections,hero.liquid,sections/hero.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,6258,"Hero section — animated particle canvas background; typing-effect tagline; headline + subheadline; dual CTA buttons (Shop Now / Learn More); floating live-dashboard widget card with metric stats; Shopify schema settings for headline / subheadline / CTA text & links",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/hero.liquid
14,Shopify Theme — SmartSphere,Sections,trust-strip.liquid,sections/trust-strip.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,2917,"Infinite-scroll trust bar — duplicated marquee of trust badges: star rating (4.9/5 · 50k+ reviews) / Free Global Shipping / Secure Checkout / AI-Powered / ISO Certified; CSS animation for seamless left-scroll loop",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/trust-strip.liquid
15,Shopify Theme — SmartSphere,Sections,features.liquid,sections/features.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,5240,"Features grid — 6 feature cards (AI-Powered / Global Reach / Smart Analytics / Instant Delivery / Secure & Private / 24/7 Support); animated skill-style progress bars for 4 AI productivity metrics; schema-controlled section heading",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/features.liquid
16,Shopify Theme — SmartSphere,Sections,featured-products.liquid,sections/featured-products.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,15708,"Filterable product grid — category tabs (All / Smart Home / Productivity / Wearables / AI Tools); renders Shopify collection products using product-card snippet; JS-powered filter; schema settings for collection & heading",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/featured-products.liquid
17,Shopify Theme — SmartSphere,Sections,global-reach.liquid,sections/global-reach.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,3465,"Global reach section — pulsing animated globe SVG with location ping dots; 4 animated counter stats (150+ Countries / 2M+ Users / 99.9% Uptime / 50k+ Products); schema-controlled heading",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/global-reach.liquid
18,Shopify Theme — SmartSphere,Sections,services.liquid,sections/services.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,5456,"Services section — 6 service cards with icons: Smart Setup / Tech Consulting / SmartCare Protection / Enterprise Solutions / Trade-In Program / SmartSphere Academy; hover-lift card animations; schema-controlled heading",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/services.liquid
19,Shopify Theme — SmartSphere,Sections,task-showcase.liquid,sections/task-showcase.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,6064,"Task management showcase section — live animated task list UI widget demonstrating SmartSphere productivity; text content alongside interactive task card; schema-controlled heading & description",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/task-showcase.liquid
20,Shopify Theme — SmartSphere,Sections,testimonials.liquid,sections/testimonials.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,6093,"Testimonials section — 6 customer reviews from Japan / Canada / Nigeria / Portugal / India / Germany; star ratings; avatar initials; country flags via emoji; auto-scroll or grid layout; schema-controlled heading",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/testimonials.liquid
21,Shopify Theme — SmartSphere,Sections,newsletter.liquid,sections/newsletter.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,2556,"Newsletter signup section — Shopify native customer newsletter form integration; email input + submit; schema settings for heading / subheading / button label",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/sections/newsletter.liquid
22,Shopify Theme — SmartSphere,Snippets,product-card.liquid,snippets/product-card.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Snippet,2244,"Reusable product card component — renders product image / title / price / compare-at price / discount badge / Add-to-Cart button; used by featured-products section",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/snippets/product-card.liquid
23,Shopify Theme — SmartSphere,Templates,index.json,templates/index.json,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,JSON,3528,"Homepage template — Shopify Online Store 2.0 JSON template defining section order and default settings: hero → trust-strip → features → featured-products → global-reach → services → task-showcase → testimonials → newsletter",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/templates/index.json
24,Shopify Theme — SmartSphere,Config,settings_schema.json,config/settings_schema.json,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,JSON,1548,"Theme settings schema — defines customisable theme-level options (colours / typography / social links) visible in Shopify Theme Customiser admin panel",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/config/settings_schema.json
25,Shopify Theme — SmartSphere,Config,settings_data.json,config/settings_data.json,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,JSON,181,Saved theme settings data — stores current values of settings_schema options for the active theme preset,2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/config/settings_data.json
26,Shopify Theme — SmartSphere,Locales,en.default.json,locales/en.default.json,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,JSON,1577,"Default English translation strings — internationalisation (i18n) keys for all section labels / button text / accessibility strings used across the SmartSphere theme",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/locales/en.default.json
